type,source,english,chinese,comment
术语,アンビエンスフィールド,Ambitions field,环境场,
术语,ゲラス,grath,葛拉斯,
术语,コスモスフィア,Cosmosphere,自我领域,
术语,ストン,ston,丝通,
术语,パラダイムシフト,Paradigm Shift,范式转移,
术语,パワード,enhance,强化,
术语,パージャ,Purger,净祓,
术语,ヒュムネクリスタル,Hymn Crystal,颂诗水晶,
术语,ヒュムネコード,Hymn Code,颂诗代码,
术语,ヒュムネブローチ,,颂诗胸针,
术语,導力プラグ,Symphonic Reactor,导力火花塞,
术语,導力ライン,Symphonic power line,导力线,
术语,精神基底周波数,Spirital Base Frequency,精神基底频率,
术语,エレミアの使徒,Elemia Apostle,埃雷米亚使徒,
术语,ヒュムノス語,Hymmnos language,诗语/颂诗语言,
术语,詩魔法,Song Magic,诗魔法,
术语,中核三角環,Core Triangular Ring,中核三角环,
术语,ランク,rank,秩级,
术语,リーフ,leaf,利夫,货币单位
术语,隔壁,Divide Wall,隔墙,
术语,グラスノインフェリア,Grathnode Inferia,葛拉斯诺焰爆,
术语,が仲間になった！,joined your party!,成为同伴了！,
术语,レーヴァテイル,Reyvateil,蕾瓦蒂尔,
术语,エレミア三謳神,Trio of Elemia,埃雷米亚三讴神,
术语,フォトングラス,Photon glass,光子镜面,
术语,グラスメルク,grathmeld,葛拉斯调和,
术语,隔壁ゲート,,隔墙闸门,
角色,どんすけ,Don Leon,昙助,
角色,アヤタネ,Ayatane,绚胤,
角色,アヤタネ・ミチタカ,Ayatane Michitaka,绚胤·箕嵩,
角色,アヤノ,Ayano,亚耶乃,
角色,アヤノ・ライザー・エルデューク,Ayano Raizer Elduke,亚耶乃·莱莎·埃尔杜克,
角色,オリカ,Aurica,欧莉卡,
角色,オリカ·ネストミール,Aurica Nestmile,欧莉卡·内斯特米尔,
角色,クルシェ,Krusche,珂洛谢,
角色,クルシェ·エレンディア,Krusche Elendia,珂洛谢·艾伦迪亚,
角色,クレア,Claire,克蕾雅,
角色,クレア・ブランチ,Claire Branch,克蕾雅·布朗奇,
角色,シュレリア,Shurelia,修蕾莉亚,
角色,ジャック,Jack,杰克,
角色,ジャック·ハミルトン,Jack Hamilton,杰克·汉密尔顿,
角色,スピカ,Spica,丝碧卡,
角色,スピカ・ニール,Spica Neal,丝碧卡·尼尔,
角色,タスティエーラ,Tastiella,塔丝缇埃拉,
角色,タスティエーラ・ヂ・ルゥ,Tastiella De Lu,塔丝缇埃拉·迪·鲁,
角色,ナール,Noelle,娜尔,
角色,ハマ,Hama,波摩,
角色,ファルス,Falss,法尔斯,
角色,ファルス司祭,Bishop Falss,法尔斯司祭,
角色,カイエル・クランシー,Kyle Clancy,凯耶尔·克兰西,法尔斯司祭真正的名字
角色,フラウト,Flute,弗劳特,
角色,フラウト・ロス・ロリア,Flute Ross Loria,弗劳特·洛斯·洛里亚,
角色,ボルド,Bourd,博尔德,
角色,ボルド・レード,Bourd Rade,博尔德·雷德,
角色,ポチョマー,Pochoma,波乔玛,
角色,ミシャ,Misha,弥纱,
角色,ミシャ·アルトセルク·リューン,Misha Arsellec Lune,弥纱·阿尔特塞尔克·琉茵,
角色,メイメイ,Mei Mei,莓莓,
角色,ライナー,Lyner,莱纳,
角色,ライナー·バルセルト,Lyner Barsett,莱纳·巴尔塞尔特,
角色,ラードルフ,Radolf,拉道夫,
角色,ラードルフ総司,Captain Radolf,拉道夫总司,
角色,リルラ,Lyra,莉露拉,
角色,リルラ・ロス・ローテル,,莉露拉·洛斯·洛提尔,
角色,ルーク,Luke,卢克,
角色,レアード,Leard,雷亚德,
角色,ガルツベルン,Garzbern,加尔兹贝伦,
角色,ミュール,Mir,缪尔,
角色,エオリア,Eoria,爱欧莉亚,
地点,タワーガーディアン,Tower Guardian,塔之守护者,
地点,ネモ,Nemo,尼莫,
地点,下の世界,Lower World,下层世界,
地点,ヴィオラの森,Viola forest,中提琴之森,
地点,カルル村,Karulu Village,卡露露村,
地点,チェロ森,Cello forest,大提琴之森,
地点,イム・フェーナ,Em Pheyna,茵姆·菲娜,
地点,天空都市プラティナ,floating city Platina,天空都市普拉提纳,
地点,彩音回廊,Musical Corridor,彩音回廊,
地点,使徒の祭壇,Altar of Apostles(AoA),使徒祭坛,
地点,ホルスの翼,Wing of Horus,荷鲁斯之翼,
地点,プラティナの町,Platina city,普拉提纳城,
地点,ほたる横丁,Firefly Alley,萤火虫巷,
地点,ソル・シェール,Sol Ciel,索尔·谢尔,
地点,六角板,Hexagonal Plate,六角板,
地点,イオンプレート,Ion Plate,离子板,
地点,天文台,Observatory,天文台,
地点,プリズムガーデン,Prism Garden,棱镜花园,Amlupta ver.
地点,シルヴァプレート,Silvaplate,希尔瓦平台,
地点,S.P.U.,S.P.U.,S.P.U.,
地点,シルヴァホルン,Silver Horn,希尔瓦号角,
地点,謳う丘,Singing Hill,歌颂之丘,
地点,リンカーネイション,Rinkernator,连接站,
地点,段々畑,Terraced Fields,梯田,
地点,天覇機密試験棟,Tenba Tower,天霸机密试验楼,
地点,天覇研究所,Tenba Labs,天霸研究所,
地点,インフェリア,Inferia,焰烬,
地点,氷の瞳,Frozen Eye,冰之瞳,
地点,イム・フェーナ寺院,Pheyna Temple,茵姆·菲娜寺院,
地点,追憶の尾翼,Tail of Reminiscence,追忆的尾翼,Amlupta ver.
地点,滞空岸壁,Floating Wharf,滞空岸壁,
地点,スクワート村,Skuwat Village,,by 盐巴
怪兽,ポム,pom,波姆,
怪兽,青い獣,blue wolf,青之兽,
