type,source,english,chinese,comment
角色名,ライナー,Lyner,莱纳,
角色名（姓）,バルセルト,Barsett,巴尔塞尔特,
角色名,オリカ,Aurica,欧莉卡,
角色名（姓）,ネストミール,Nestmile,内斯特米尔,
角色名,彌紗,Misha,弥纱,
角色名,ミシャ,Misha,弥纱,
角色名（中间名）,アルトセルク,Arsellec,阿尔特塞尔克,
角色名,リューン,Lune,琉恩,
角色名,ジャック,Jack,杰克,
角色名（姓）,ハミルトン,Hamilton,汉密尔顿,
角色名,アルモニカ,Harmonica,阿尔莫尼卡,
角色名（中间名）,デ,De,戴,
角色名,パメリ,Pameli,帕梅利,
角色名,クルシェ,Krusche,库尔谢,
角色名（姓）,エレンディア,Elendia,艾伦迪亚,
角色名,ラードルフ,Radolf,拉道夫,
角色名（姓）,シュナイゼン,,施奈尔森,
角色名（称呼）,ラードルフ総司,Captain Radolf,拉道夫总司,
角色名,絢胤,Ayatane,绚胤,
角色名,アヤタネ,Ayatane,绚胤,
角色名（姓）,箕嵩,Michitaka,箕嵩,
角色名（姓）,ミチタカ,Michitaka,箕嵩,
角色名,クレア,Claire,克蕾雅,
角色名（姓）,ブランチ,Branch,布朗奇,
角色名,ボルド,Bourd,博尔德,
角色名（姓）,レード,Rade,雷德,
角色名,シュレリア,Shurelia,修蕾莉亚,
角色名,どんすけ,Don Leon,昙助,
角色名,波摩,Hama,波摩,
角色名,ハマ,Hama,波摩,
角色名,スピカ,Spica,丝碧卡,
角色名（姓）,ニール,Neal,尼尔,
角色名,リルラ,Lyra,莉露拉,
角色名（中间名）,ロス,Ross,洛斯,
角色名（姓）,レーテル,,雷提尔,
角色名,レアード,Leard,雷亚德,
角色名,フラウト,Flute,弗劳特,
角色名（姓）,ロリア,Loria,洛里亚,
角色名,ファルス司祭,Bishop Falss,法尔斯司祭,
角色名,タスティエーラ,Tastiella,塔丝缇爱拉,
角色名（姓）,ルゥ,Lu,鲁,
角色名,亜耶乃,Ayano,亚耶乃,
角色名,アヤノ,Ayano,亚耶乃,
角色名（中间名）,ライザー,Raizer,莱泽尔,
角色名（姓）,エルデューク,Elduke,埃尔杜克,
角色名,メイメイ,Meimei,莓莓,
角色名,ガルツベルン,Garzbern,加尔兹贝伦,
角色名（中间名）,ルク,,鲁克,注意与卢克区分
角色名（姓）,ランド,,兰德,
角色名,ミュール,Mir,缪尔,
角色名,ナール,Noelle,娜尔,
角色名,カイエル,,凯耶尔,
角色名,クランシー,,克兰西,
角色名,ポチョマー,Pochoma,波乔玛,
角色名,ルーク,Luke,卢克,注意与鲁克区分
角色名,エオリア,Eoria,爱欧莉亚,
角色名,フレリア,Frelia,芙蕾莉亚,
角色名,ティリア,Tyria,缇莉亚,
二进制域用假名,原瀬頼奈,Lyner Harasett,原濑赖奈,
二进制域用假名,原瀬,Harasett,原濑,
二进制域用假名,頼奈,Lyner,赖奈,读音同“莱纳”
二进制域用假名,塔ヶ崎澪羅,Leila Togasaki,塔之崎澪罗,
二进制域用假名,塔ヶ崎,Togasaki,塔之崎,
二进制域用假名,澪羅,Leila,澪罗,
二进制域用假名,本宫织香,Aurica Motomiya,本宫织香,
二进制域用假名,本宫,Motomiya,本宫,
二进制域用假名,织香,Aurica,织香,读音同“欧莉卡”
配方卡名,合Ｃ：フォトングラス,,合Ｃ：光子镜面,
配方卡名,合Ｃ：ネジ,,合Ｃ：螺丝,
配方卡名,合Ｃ：羅針盤,,合Ｃ：罗盘,
配方卡名,合Ｃ：木の箱,,合Ｃ：木箱,
配方卡名,合Ｃ：白い粉,,合Ｃ：白色粉末,
配方卡名,合Ｃ：超文明のメカ,,合Ｃ：超文明造物,
配方卡名,合Ｃ：磁石,,合Ｃ：磁铁,
配方卡名,合Ｃ：石木栄養剤,,合Ｃ：石木营养剂,
配方卡名,合Ｃ：綿,,合Ｃ：棉,
配方卡名,合Ｃ：鉄,,合Ｃ：铁,
配方卡名,合Ｃ：布,,合Ｃ：布,
配方卡名,合Ｃ：ぬいぐるみ,,合Ｃ：布偶,
配方卡名,合Ｃ：フリッパー,,合Ｃ：升力盘,
配方卡名,合Ｃ：ラムクラスタ,,合Ｃ：冲击集束,
配方卡名,合Ｃ：シェアリングコア,,合Ｃ：共享核心,
配方卡名,合Ｃ：オカリナ,,合Ｃ：陶笛,
配方卡名,合Ｃ：水槽,,合Ｃ：水槽,
配方卡名,合Ｃ：たる,,合Ｃ：桶子,
